Format,Appearances,Example,Interpretation
____,2725,1751,1751
zwischen ____ und ____,2113,[zwischen 1854 und 1861],1854/1861
ca. ____,931,[ca. 1838],1838?
__ 🌕 __ i.e. __._.____,380,29 Aug 08 [i.e. 29.8.1908],1908-08-29
zwischen ____ und ____?,298,[zwischen 1730 und 1775?],1730/1775
_ 🌕 __ i.e. _._.____,160,5 IV 90 [i.e. 5.4.1890],1890-04-05
vor ____,128,[vor 1857],/1857
__ 🌕 ____,117,22 Aug [18]59,1859-08-22
ca. ____?,115,[ca. 1850?],1850?
_ 🌕 ____,76,4 Oct [18]71,1871-10-04
__ 🌕. __ i.e. __._.____,72,31 Aug. 05 [i.e. 31.8.1905],1905-08-31
🌕 ____,59,[Mai 1843],1843-05
nach ____,48,[nach 1898],1898/
__ 🌕. ____,44,31 Aug. 1905,1905-08-31
um ____,42,[um 1770],1770?
🌕. ____,39,Aug. 1906,1906-08
__--?,39,[18--?],1800?/1899?
__--,38,[18--],1800/1899
_ 🌕. __ i.e. _._.____,38,5 Aug. 85 [i.e. 5.8.1885],1885-08-05
_ 🌕. ____,37,3 X. [18]89,1889-10-03
_ 🌕 __ i.e. _.__.____,35,4 X 89 [i.e. 4.10.1889],1889-10-04
__ 🌕 __ i.e. __.__.____,34,31 Aug 09 [i.e. 31.08.1909],1909-08-31
____?,28,[1843?],1843?
_ 🌕. __ i.e. _.__.____,20,4 Oct. 98 [i.e. 4.10.1898],1898-10-04
__. 🌕 ____,18,[14. August 1793],1793-08-14
den __ 🌕 ____,15,den 23 May 1785,1785-05-23
🌕 __ i.e. 🌕 ____,11,Oct 80 [i.e. Oktober 1880],1880-10
den _ 🌕 ____,10,den 4 Merz [18]15,1815-03-04
__. 🌕. __ i.e. __._.____,10,20. I. 95 [i.e. 20.1.1895],1895-01-20
__. 🌕 __ i.e. __._.____,9,31. III 90 [i.e. 31.3.1890],1890-03-31
__/__ 🌕 __ i.e. __./__._.____,9,29/30 Aug 09 [i.e. 29./30.8.1909],1909-08-30
circa ____,8,[circa 1870],1870?
le __ 🌕 ____,8,le 13 Octob 1844,1844-10-13
_/_ 🌕. ____,8,1/2 IX. [19]09,1909-09-02
den __. 🌕 ____,8,den 20. Merz 1796,1796-03-20
um ____?,8,[um 1740?],1740?
le _. 🌕 ____,7,le 3. May 1783,1783-05-03
den __. 🌕. ____,7,den 12. Ap. [17]94,1794-04-12
_/_ 🌕 ____,7,3/4 Sept [18]86,1886-09-04
🌕. __ i.e. 🌕 ____,7,Sept. 88 [i.e. September 1888],1888-09
__/__ 🌕 ____,6,24/27 Mai [18]89,1889-05-27
ca. zwischen ____ und ____,6,[ca. zwischen 1860 und 1900],1860/1900
den __ 🌕. ____,6,den 31 Jul. 1788,1788-07-31
_/_ 🌕. __ i.e. _./_._.____,6,5/6 Sept. 11 [i.e. 5./6.9.1911],1911-09-06
__/__ 🌕. ____,6,13/14 Sept. 1903,1903-09-14
__/__ 🌕. __ i.e. __./__._.____,6,24/25 VIII. 08 [i.e. 24./25.8.1908],1908-08-25
_. 🌕. __ i.e. _._.____,6,7. VIII. 95 [i.e. 7.8.1895],1895-08-07
A° ____,6,A° 1673,1673
ca.____,5,[ca.1910],1910?
🌕y ____,5,July 1845,1845
le __. 🌕 ____,5,le 18. May 1785,1785-05-18
den _. 🌕 ____,5,den 1. 7br 1805,1805-09-01
_. 🌕 ____,5,5. April 1861,1861-04-05
vor ____?,5,[vor 1852?],/1852
____ und ____,5,[1890 und 1904],1890/1904
zwischen ____? und ____?,4,[zwischen 1910? und 1920?],1910/1920
le __. 🌕. ____,4,le 20. octobr. [1782],1782-10-20
__. 🌕. ____,4,12. Sept. [18]57,1857-09-12
__ 🌕. __ i.e. __.__.____,4,20 XI. 95 [i.e. 20.11.1895],1895-11-20
_/_ 🌕 __ i.e. _./_._.____,4,6/7 IX 09 [i.e. 6./7.9.1909],1909-09-07
__/_/__ i.e. __._.____,4,24/4/97 [i.e. 24.4.1897],1897-04-24
_.🌕.____,4,2.IV.[18]37,1837-04-02
__. ¢,3,[19. Jahrhundert],18XX
le __ 🌕y ____,3,le 14 July 1844,1844
_. 🌕. ____,3,4. Oct. 1898,1898-10-04
gezeichnet nach der Natur ____,3,gezeichnet nach der Natur 1765,1765
le _ 🌕 ____,3,le 5 7bre 1786,1786-09-05
nach _. 🌕 ____,3,[nach 8. November 1792],1792-11-08
__ 🌕 __ aufg. i.e. __._.____,3,27 Mai 60 aufg. [i.e. 27.5.1860],1860-05-27
_ 🌕 __. aufg. i.e. _._.____,3,1 April 60. aufg. [i.e. 1.4.1860],1860-04-01
🌕 __ i.e. _.____,3,Sept 88 [i.e. 9.1888],1888-09
